City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mankato,US,58.21,clear sky,44.1636,-93.9994,Mankato
3,East London,ZA,56.34,light rain,-33.0153,27.9116,East London
4,Vardo,NO,53.8,overcast clouds,70.3705,31.1107,Vardo
6,Kang,BW,64.49,clear sky,-23.6752,22.7876,Kang
7,Albany,US,57.09,overcast clouds,42.6001,-73.9662,Voorheesville
8,Jamestown,US,64.04,fog,42.097,-79.2353,Jamestown
11,Rikitea,PF,73.67,overcast clouds,-23.1203,-134.9692,Rikitea
12,Severo-Kurilsk,RU,45.41,light rain,50.6789,156.125,Severo-Kurilsk
13,Ahipara,NZ,61.09,scattered clouds,-35.1667,173.1667,Ahipara
14,Geraldton,AU,68.41,broken clouds,-28.7667,114.6,Geraldton
15,Hermanus,ZA,58.89,scattered clouds,-34.4187,19.2345,Hermanus
18,Lac Du Bonnet,CA,55.78,few clouds,50.2536,-96.0612,Lac du Bonnet
20,Castro,BR,55.6,overcast clouds,-24.7911,-50.0119,Castro
21,Puerto Ayora,EC,68.56,scattered clouds,-0.7393,-90.3518,Puerto Ayora
22,Ribeira Grande,PT,72.23,overcast clouds,38.5167,-28.7,Horta
23,Cape Town,ZA,60.28,clear sky,-33.9258,18.4232,Cape Town
28,Khor,RU,52.63,clear sky,47.8861,134.9464,Khor
29,Marsa Matruh,EG,71.69,clear sky,31.3525,27.2453,Marsa Matruh
30,Mataura,NZ,59.49,scattered clouds,-46.1927,168.8643,Gore
31,Burnie,AU,56.95,overcast clouds,-41.0667,145.9167,Burnie
33,Druzhba,UA,45.59,clear sky,52.0428,33.9453,Druzhba
34,Skelleftea,SE,52.0,scattered clouds,64.7507,20.9528,Skellefteå
35,Torbay,CA,45.27,light rain,47.6666,-52.7314,St. John's
38,Lubango,AO,66.29,clear sky,-14.9172,13.4925,Lubango
41,Lakes Entrance,AU,60.57,overcast clouds,-37.8811,147.981,Lakes Entrance
42,Hobart,AU,61.05,broken clouds,-42.8794,147.3294,Hobart
46,Visby,SE,53.85,mist,57.6409,18.296,Visby
48,Touros,BR,74.3,broken clouds,-5.1989,-35.4608,Touros
49,Reforma,MX,73.15,overcast clouds,18.1,-91.0167,Reforma
51,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Avarua District
54,Muros,ES,64.9,broken clouds,42.7762,-9.0603,Muros
56,Codrington,AU,56.86,scattered clouds,-38.2667,141.9667,Yambuk
57,Pacific Grove,US,62.82,broken clouds,36.6177,-121.9166,Monterey
58,Pisco,PE,62.65,scattered clouds,-13.7,-76.2167,Pisco
63,New Norfolk,AU,60.71,light rain,-42.7826,147.0587,New Norfolk
64,Plattsburgh,US,58.05,overcast clouds,44.6995,-73.4529,Plattsburgh
65,Ayr,GB,48.09,clear sky,55.4627,-4.6339,Ayr
66,Camana,PE,60.8,broken clouds,-16.6228,-72.7111,Cercado de Camana
67,Khasan,RU,50.97,overcast clouds,42.4308,130.6434,Yanbian Korean Autonomous Prefecture
68,Busselton,AU,55.04,overcast clouds,-33.65,115.3333,Busselton
72,Batemans Bay,AU,69.1,broken clouds,-35.7167,150.1833,Batemans Bay
74,Bredasdorp,ZA,57.27,few clouds,-34.5322,20.0403,Bredasdorp
75,Pechenga,RU,52.66,light rain,69.5259,31.1703,Pechenga
76,Sorland,NO,51.87,broken clouds,67.667,12.6934,Sørland
77,Port Lincoln,AU,63.59,scattered clouds,-34.7333,135.8667,Port Lincoln
79,Chuy,UY,46.29,clear sky,-33.6971,-53.4616,Chuy
81,Bluff,NZ,59.81,scattered clouds,-46.6,168.3333,Bluff
82,Lagoa,PT,71.04,overcast clouds,39.05,-27.9833,Santa Cruz Da Graciosa
84,Canutama,BR,74.64,moderate rain,-6.5339,-64.3831,Canutama
86,Carnarvon,AU,71.67,scattered clouds,-24.8667,113.6333,Carnarvon
87,Eureka,US,53.67,overcast clouds,40.8021,-124.1637,Eureka
88,Karoi,ZW,72.64,scattered clouds,-16.8099,29.6925,Karoi
90,Port Alfred,ZA,60.8,scattered clouds,-33.5906,26.891,Port Alfred
91,Half Moon Bay,US,72.0,fog,37.4636,-122.4286,Half Moon Bay
92,Lompoc,US,72.21,few clouds,34.6391,-120.4579,Lompoc
93,Katangli,RU,45.0,broken clouds,51.7102,143.2326,Katangli
95,Huescar,ES,50.94,scattered clouds,37.811,-2.5412,Huéscar
96,Opuwo,,68.04,clear sky,-18.0607,13.84,Opuwo
98,Tuatapere,NZ,59.83,light rain,-46.1333,167.6833,Tuatapere
