City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mankato,US,44.1636,-93.9994,58.21,91,1,5.75,clear sky,2021-10-05 05:43:24
1,Kirando,TZ,-7.4167,30.6,81.25,54,53,1.59,broken clouds,2021-10-05 05:46:35
2,Tasiilaq,GL,65.6145,-37.6368,35.76,61,63,5.79,broken clouds,2021-10-05 05:46:35
3,East London,ZA,-33.0153,27.9116,56.34,94,20,4.61,light rain,2021-10-05 05:43:02
4,Vardo,NO,70.3705,31.1107,53.8,85,100,25.12,overcast clouds,2021-10-05 05:46:36
5,Mount Isa,AU,-20.7333,139.5,94.77,10,40,10.36,scattered clouds,2021-10-05 05:46:36
6,Kang,BW,-23.6752,22.7876,64.49,63,1,13.91,clear sky,2021-10-05 05:46:36
7,Albany,US,42.6001,-73.9662,57.09,95,100,1.01,overcast clouds,2021-10-05 05:45:29
8,Jamestown,US,42.097,-79.2353,64.04,98,90,1.01,fog,2021-10-05 05:46:37
9,Ushuaia,AR,-54.8,-68.3,38.82,87,90,18.41,overcast clouds,2021-10-05 05:46:37
10,Boueni,YT,-12.9025,45.0761,80.58,75,26,2.33,scattered clouds,2021-10-05 05:46:38
11,Rikitea,PF,-23.1203,-134.9692,73.67,75,98,19.26,overcast clouds,2021-10-05 05:46:38
12,Severo-Kurilsk,RU,50.6789,156.125,45.41,82,82,22.77,light rain,2021-10-05 05:46:38
13,Ahipara,NZ,-35.1667,173.1667,61.09,90,38,3.24,scattered clouds,2021-10-05 05:46:39
14,Geraldton,AU,-28.7667,114.6,68.41,56,75,14.97,broken clouds,2021-10-05 05:46:39
15,Hermanus,ZA,-34.4187,19.2345,58.89,76,25,13.98,scattered clouds,2021-10-05 05:46:40
16,Airai,TL,-8.9266,125.4092,76.48,48,88,3.2,overcast clouds,2021-10-05 05:46:40
17,Hithadhoo,MV,-0.6,73.0833,84.36,73,57,17.69,broken clouds,2021-10-05 05:46:40
18,Lac Du Bonnet,CA,50.2536,-96.0612,55.78,44,17,6.35,few clouds,2021-10-05 05:46:41
19,Onokhoy,RU,51.932,108.0747,44.35,41,5,1.14,clear sky,2021-10-05 05:46:41
20,Castro,BR,-24.7911,-50.0119,55.6,98,100,6.78,overcast clouds,2021-10-05 05:46:42
21,Puerto Ayora,EC,-0.7393,-90.3518,68.56,90,26,5.01,scattered clouds,2021-10-05 05:46:42
22,Ribeira Grande,PT,38.5167,-28.7,72.23,85,97,12.35,overcast clouds,2021-10-05 05:46:42
23,Cape Town,ZA,-33.9258,18.4232,60.28,60,0,4.0,clear sky,2021-10-05 05:46:19
24,Katsuura,JP,35.1333,140.3,80.71,69,23,14.65,few clouds,2021-10-05 05:46:43
25,San Patricio,US,28.017,-97.5169,78.64,60,67,4.61,broken clouds,2021-10-05 05:46:43
26,Kedrovyy,RU,56.1667,91.8167,41.41,47,98,7.61,overcast clouds,2021-10-05 05:46:44
27,Norman Wells,CA,65.282,-126.8329,32.04,93,75,9.22,light snow,2021-10-05 05:46:44
28,Khor,RU,47.8861,134.9464,52.63,41,2,9.24,clear sky,2021-10-05 05:46:45
29,Marsa Matruh,EG,31.3525,27.2453,71.69,61,3,6.53,clear sky,2021-10-05 05:46:45
30,Mataura,NZ,-46.1927,168.8643,59.49,72,31,3.58,scattered clouds,2021-10-05 05:46:45
31,Burnie,AU,-41.0667,145.9167,56.95,69,100,15.12,overcast clouds,2021-10-05 05:46:46
32,Kapaa,US,22.0752,-159.319,80.58,79,75,3.0,broken clouds,2021-10-05 05:46:46
33,Druzhba,UA,52.0428,33.9453,45.59,70,2,9.82,clear sky,2021-10-05 05:46:47
34,Skelleftea,SE,64.7507,20.9528,52.0,66,40,1.99,scattered clouds,2021-10-05 05:46:47
35,Torbay,CA,47.6666,-52.7314,45.27,87,90,20.71,light rain,2021-10-05 05:46:47
36,Barrow,US,71.2906,-156.7887,12.22,85,20,11.5,few clouds,2021-10-05 05:46:48
37,Nome,US,64.5011,-165.4064,39.27,87,90,29.93,moderate rain,2021-10-05 05:46:48
38,Lubango,AO,-14.9172,13.4925,66.29,30,8,2.91,clear sky,2021-10-05 05:46:49
39,Ciudad Bolivar,VE,8.1222,-63.5497,76.5,88,26,7.78,scattered clouds,2021-10-05 05:46:49
40,Clyde River,CA,70.4692,-68.5914,32.7,84,94,5.97,overcast clouds,2021-10-05 05:46:49
41,Lakes Entrance,AU,-37.8811,147.981,60.57,69,100,19.51,overcast clouds,2021-10-05 05:46:50
42,Hobart,AU,-42.8794,147.3294,61.05,72,75,1.01,broken clouds,2021-10-05 05:45:02
43,Cherskiy,RU,68.75,161.3,17.46,98,91,5.08,overcast clouds,2021-10-05 05:46:50
44,Labuhan,ID,-6.8844,112.2051,87.22,59,23,11.52,few clouds,2021-10-05 05:46:51
45,Rubiataba,BR,-15.1644,-49.8033,75.52,61,29,1.3,scattered clouds,2021-10-05 05:46:51
46,Visby,SE,57.6409,18.296,53.85,100,90,5.75,mist,2021-10-05 05:46:51
47,Yellowknife,CA,62.456,-114.3525,36.41,100,90,1.01,light rain,2021-10-05 05:46:52
48,Touros,BR,-5.1989,-35.4608,74.3,79,51,11.97,broken clouds,2021-10-05 05:46:52
49,Reforma,MX,18.1,-91.0167,73.15,94,92,4.29,overcast clouds,2021-10-05 05:46:53
50,Butaritari,KI,3.0707,172.7902,82.36,65,65,9.95,broken clouds,2021-10-05 05:46:53
51,Avarua,CK,-21.2078,-159.775,73.45,88,40,9.22,scattered clouds,2021-10-05 05:46:54
52,Kavieng,PG,-2.5744,150.7967,82.89,71,99,3.11,light rain,2021-10-05 05:46:54
53,Hilo,US,19.7297,-155.09,79.29,79,90,3.44,light rain,2021-10-05 05:46:54
54,Muros,ES,42.7762,-9.0603,64.9,94,65,8.46,broken clouds,2021-10-05 05:46:55
55,Atuona,PF,-9.8,-139.0333,78.17,75,5,18.63,clear sky,2021-10-05 05:46:55
56,Codrington,AU,-38.2667,141.9667,56.86,64,31,16.11,scattered clouds,2021-10-05 05:46:55
57,Pacific Grove,US,36.6177,-121.9166,62.82,91,75,1.01,broken clouds,2021-10-05 05:46:56
58,Pisco,PE,-13.7,-76.2167,62.65,82,40,4.61,scattered clouds,2021-10-05 05:46:56
59,Morondava,MG,-20.2833,44.2833,83.86,51,4,2.44,clear sky,2021-10-05 05:46:57
60,Sungairaya,ID,0.7,108.9,87.71,59,41,9.24,scattered clouds,2021-10-05 05:46:57
61,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,42,7.34,scattered clouds,2021-10-05 05:46:57
62,Aklavik,CA,68.2191,-135.0107,27.32,86,100,10.2,overcast clouds,2021-10-05 05:46:58
63,New Norfolk,AU,-42.7826,147.0587,60.71,64,80,4.0,light rain,2021-10-05 05:46:58
64,Plattsburgh,US,44.6995,-73.4529,58.05,91,90,4.61,overcast clouds,2021-10-05 05:46:58
65,Ayr,GB,55.4627,-4.6339,48.09,87,0,3.44,clear sky,2021-10-05 05:46:59
66,Camana,PE,-16.6228,-72.7111,60.8,83,83,7.27,broken clouds,2021-10-05 05:46:59
67,Khasan,RU,42.4308,130.6434,50.97,79,100,8.61,overcast clouds,2021-10-05 05:47:00
68,Busselton,AU,-33.65,115.3333,55.04,55,98,11.97,overcast clouds,2021-10-05 05:47:00
69,Singojuruh,ID,-8.3167,114.2333,78.13,79,91,6.44,overcast clouds,2021-10-05 05:47:01
70,Aransas Pass,US,27.9095,-97.15,78.78,79,1,1.01,clear sky,2021-10-05 05:47:01
71,Aykhal,RU,66.0,111.5,31.68,70,90,18.75,overcast clouds,2021-10-05 05:47:01
72,Batemans Bay,AU,-35.7167,150.1833,69.1,46,66,3.09,broken clouds,2021-10-05 05:47:02
