City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tocopilla,CL,2021-09-29 04:23:36,-22.092,-70.1979,61.65,71,20,1.97
1,Portland,US,2021-09-29 04:20:59,45.5234,-122.6762,54.93,90,77,1.01
2,Muravlenko,RU,2021-09-29 04:23:36,63.7898,74.523,36.25,68,100,8.97
3,Necochea,AR,2021-09-29 04:23:37,-38.5473,-58.7368,46.04,78,2,11.52
4,Cape Town,ZA,2021-09-29 04:20:57,-33.9258,18.4232,59.41,68,0,18.41
5,Rikitea,PF,2021-09-29 04:21:00,-23.1203,-134.9692,73.58,63,100,17.11
6,Mataura,NZ,2021-09-29 04:20:56,-46.1927,168.8643,47.48,95,85,10.54
7,Kununurra,AU,2021-09-29 04:22:38,-15.7667,128.7333,100.38,23,11,9.22
8,Krasnoselkup,RU,2021-09-29 04:23:37,65.7,82.4667,36.77,63,55,3.47
9,Liverpool,GB,2021-09-29 04:23:38,53.4106,-2.9779,50.83,87,37,5.99
10,Souillac,MU,2021-09-29 04:20:50,-20.5167,57.5167,75.58,64,40,18.41
11,Busselton,AU,2021-09-29 04:20:53,-33.65,115.3333,64.85,78,64,15.75
12,Saint-Philippe,RE,2021-09-29 04:21:31,-21.3585,55.7679,74.79,76,33,11.72
13,Katima Mulilo,NA,2021-09-29 04:23:38,-17.5,24.2667,68.92,36,0,4.7
14,Atuona,PF,2021-09-29 04:21:07,-9.8,-139.0333,77.68,77,10,19.98
15,Sao Joao Da Barra,BR,2021-09-29 04:21:59,-21.6403,-41.0511,71.92,87,3,16.96
16,Albany,US,2021-09-29 04:20:38,42.6001,-73.9662,55.09,75,82,5.28
17,Esperance,AU,2021-09-29 04:22:10,-33.8667,121.9,62.47,60,94,6.13
18,Bose,IT,2021-09-29 04:23:39,45.4612,8.0137,62.22,90,51,4.25
19,Tukrah,LY,2021-09-29 04:23:40,32.5341,20.5791,72.93,83,0,6.38
20,Leningradskiy,RU,2021-09-29 04:22:16,69.3833,178.4167,25.3,96,100,12.37
21,Spirit River,CA,2021-09-29 04:23:40,55.7833,-118.8361,45.03,59,35,8.88
22,Dongsheng,CN,2021-09-29 04:23:41,39.8161,109.9776,70.75,18,0,9.48
23,Iqaluit,CA,2021-09-29 04:23:00,63.7506,-68.5145,26.33,86,20,4.0
24,San Vicente,AR,2021-09-29 04:23:41,-26.6167,-54.1333,62.96,95,90,5.44
25,Kokstad,ZA,2021-09-29 04:23:41,-30.5472,29.4241,53.73,88,100,2.8
26,Nobeoka,JP,2021-09-29 04:23:42,32.5833,131.6667,80.76,70,26,7.0
27,Komsomolskiy,UZ,2021-09-29 04:21:56,40.4272,71.7189,72.32,37,3,6.91
28,Vaini,TO,2021-09-29 04:20:59,-21.2,-175.2,78.96,89,20,9.22
29,Turkistan,KZ,2021-09-29 04:23:42,43.0,68.0,63.86,40,81,10.51
30,Puerto Ayora,EC,2021-09-29 04:22:06,-0.7393,-90.3518,69.33,92,77,7.9
31,Nanortalik,GL,2021-09-29 04:22:42,60.1432,-45.2371,36.88,62,0,3.67
32,Manokwari,ID,2021-09-29 04:23:43,-0.8667,134.0833,84.49,66,99,5.59
33,Ushuaia,AR,2021-09-29 04:20:38,-54.8,-68.3,39.6,68,100,13.29
34,Prainha,BR,2021-09-29 04:23:44,-1.8,-53.48,77.09,73,4,4.27
35,Ovalle,CL,2021-09-29 04:23:44,-30.5983,-71.2003,64.26,39,93,1.21
36,Upernavik,GL,2021-09-29 04:21:49,72.7868,-56.1549,25.39,53,14,4.97
37,Broken Hill,AU,2021-09-29 04:23:44,-31.95,141.4333,73.11,33,3,10.36
38,Kapaa,US,2021-09-29 04:21:44,22.0752,-159.319,82.38,81,90,13.8
39,El Carmen,CO,2021-09-29 04:23:45,8.5106,-73.4478,67.17,99,100,1.57
40,Ilulissat,GL,2021-09-29 04:21:39,69.2167,-51.1,26.62,39,37,3.44
41,Sarakhs,IR,2021-09-29 04:23:45,36.5449,61.1577,68.14,42,0,9.22
42,Hithadhoo,MV,2021-09-29 04:23:46,-0.6,73.0833,82.8,71,78,10.76
43,Alofi,NU,2021-09-29 04:23:46,-19.0595,-169.9187,75.09,94,24,12.66
44,Awbari,LY,2021-09-29 04:23:46,26.5921,12.7805,72.01,22,0,2.98
45,Hermanus,ZA,2021-09-29 04:21:05,-34.4187,19.2345,57.9,84,20,9.31
46,Agaro,ET,2021-09-29 04:23:47,7.85,36.65,61.11,98,100,1.19
47,Barrow,US,2021-09-29 04:20:55,71.2906,-156.7887,30.22,74,90,11.5
48,Bredasdorp,ZA,2021-09-29 04:21:01,-34.5322,20.0403,46.27,87,13,3.18
49,Mehamn,NO,2021-09-29 04:22:22,71.0357,27.8492,49.95,71,0,6.91
50,Paamiut,GL,2021-09-29 04:23:47,61.994,-49.6678,31.5,41,24,8.34
51,Nybro,SE,2021-09-29 04:23:48,56.7446,15.9071,55.72,97,100,8.14
52,Harper,LR,2021-09-29 04:22:42,4.375,-7.7169,76.14,89,69,3.69
53,Bredy,RU,2021-09-29 04:23:48,52.4153,60.3411,35.2,86,89,17.07
54,Hasaki,JP,2021-09-29 04:23:49,35.7333,140.8333,79.29,64,90,10.92
55,Zhuhai,CN,2021-09-29 04:23:49,22.2769,113.5678,91.18,74,40,8.05
56,Kodiak,US,2021-09-29 04:21:17,57.79,-152.4072,45.91,76,75,5.75
57,Bluff,NZ,2021-09-29 04:18:26,-46.6,168.3333,48.79,83,93,26.35
58,Lalin,ES,2021-09-29 04:23:50,42.7167,-8.1167,55.72,97,100,1.61
59,Longyearbyen,SJ,2021-09-29 04:21:40,78.2186,15.6401,35.44,75,75,10.36
60,Saint Anthony,US,2021-09-29 04:23:50,45.0205,-93.218,68.11,66,1,1.01
61,Urumqi,CN,2021-09-29 04:22:48,43.801,87.6005,63.55,30,0,11.18
62,Buta,CD,2021-09-29 04:22:15,2.7858,24.73,67.73,100,100,1.57
63,Tasiilaq,GL,2021-09-29 04:20:55,65.6145,-37.6368,35.76,65,100,5.26
64,Sovetskaya Gavan,RU,2021-09-29 04:23:51,48.9723,140.2878,67.05,71,2,10.8
65,Tiksi,RU,2021-09-29 04:21:27,71.6872,128.8694,33.15,82,100,2.13
66,Kavieng,PG,2021-09-29 04:22:06,-2.5744,150.7967,84.34,73,32,8.95
67,Jiexiu,CN,2021-09-29 04:23:52,37.0244,111.9125,76.69,49,0,4.81
68,Mogzon,RU,2021-09-29 04:23:52,51.7435,111.9606,36.86,57,100,13.04
69,Puri,IN,2021-09-29 04:23:52,19.8,85.85,86.52,82,100,8.3
70,Deqing,CN,2021-09-29 04:23:53,30.5448,119.9599,89.56,83,99,9.82
71,Tuzha,RU,2021-09-29 04:23:53,57.6062,47.936,35.33,83,96,4.61
72,Punta Arenas,CL,2021-09-29 04:20:53,-53.15,-70.9167,46.51,46,20,40.29
73,Georgetown,MY,2021-09-29 04:21:47,5.4112,100.3354,85.89,78,20,1.01
74,Traverse City,US,2021-09-29 04:19:33,44.7631,-85.6206,52.48,96,1,0.0
